Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
Q9NZB2	F120A	0.841	PSProteome
Q8WXI9	P66B	0.841	PSProteome
O95071	UBR5	0.841	PSProteome
Q9H0H5	RGAP1	0.84	PSProteome
Q99961	SH3G1	0.84	PSProteome
Q9NYF8	BCLF1	0.84	PSProteome
P68371	TBB4B	0.84	PSProteome
P26038	MOES	0.84	PSProteome
Q14118	DAG1	0.84	PSProteome
Q8WWQ0	PHIP	0.84	PSProteome
Q92733	PRCC	0.84	PSProteome
O14908	GIPC1	0.839	PSProteome
Q13561	DCTN2	0.839	PSProteome
P16070	CD44	0.839	PSProteome
Q9UI36	DACH1	0.839	PSProteome
Q13526	PIN1	0.838	PSProteome
P39023	RL3	0.838	PSProteome
P62753	RS6	0.838	PSProteome
Q96RT1	LAP2	0.838	PSProteome
Q71RC2	LARP4	0.838	PSProteome
Q9H6Z4	RANB3	0.838	PSProteome
Q9BY77	PDIP3	0.838	PSProteome
P46940	IQGA1	0.838	PSProteome
Q08AD1	CAMP2	0.838	PSProteome
O94992	HEXI1	0.838	PSProteome
O95104	SFR15	0.838	PSProteome
Q9NYB0	TE2IP	0.837	PSProteome
Q8IX12	CCAR1	0.837	PSProteome
P50990	TCPQ	0.837	PSProteome
Q15691	MARE1	0.837	PSProteome
Q9BQ39	DDX50	0.837	PSProteome
P19174	PLCG1	0.837	PSProteome
P51610	HCFC1	0.837	PSProteome
Q9C0B0	UNK	0.837	PSProteome
P09012	SNRPA	0.836	PSProteome
Q96SI9	STRBP	0.836	PSProteome
P35251	RFC1	0.836	PSProteome
Q9UBB9	TFP11	0.836	PSProteome
Q9H8Y8	GORS2	0.836	PSProteome
Q6WCQ1	MPRIP	0.836	PSProteome
Q13546	RIPK1	0.836	PSProteome
P35998	PRS7	0.835	PSProteome
P43686	PRS6B	0.835	PSProteome
Q9UBU9	NXF1	0.835	PSProteome
P48730	KC1D	0.835	PSProteome
O75122	CLAP2	0.835	PSProteome
P16220	CREB1	0.835	PSProteome
Q6PJG2	EMSA1	0.835	PSProteome
Q9UPN6	SCAF8	0.835	PSProteome
Q9GZQ8	MLP3B	0.834	PSProteome
Q9Y5S9	RBM8A	0.834	PSProteome
Q16181	7-Sep	0.834	PSProteome
P55209	NP1L1	0.834	PSProteome
P62195	PRS8	0.834	PSProteome
P07948	LYN	0.834	PSProteome
Q9NQW6	ANLN	0.834	PSProteome
Q7Z6E9	RBBP6	0.834	PSProteome
Q9HC52	CBX8	0.834	PSProteome
Q13485	SMAD4	0.834	PSProteome
O75369	FLNB	0.833	PSProteome
P08238	HS90B	0.833	PSProteome
P40763	STAT3	0.833	PSProteome
Q04323	UBXN1	0.833	PSProteome
Q8WWI1	LMO7	0.833	PSProteome
Q8TAD8	SNIP1	0.833	PSProteome
Q02880	TOP2B	0.833	PSProteome
Q9UGP4	LIMD1	0.833	PSProteome
Q8NEY8	PPHLN	0.833	PSProteome
O15164	TIF1A	0.833	PSProteome
Q9BZC1	CELF4	0.832	PSProteome
P35221	CTNA1	0.832	PSProteome
P07900	HS90A	0.832	PSProteome
O15042	SR140	0.832	PSProteome
P62241	RS8	0.832	PSProteome
P55198	AF17	0.832	PSProteome
Q9HBZ2	ARNT2	0.832	PSProteome
O15265	ATX7	0.832	PSProteome
P21333	FLNA	0.831	PSProteome
Q9UM54	MYO6	0.831	PSProteome
P15927	RFA2	0.831	PSProteome
Q15532	SSXT	0.831	PSProteome
Q8IU60	DCP2	0.83	PSProteome
Q02750	MP2K1	0.83	PSProteome
P04083	ANXA1	0.83	PSProteome
Q99848	EBP2	0.83	PSProteome
P09496	CLCA	0.83	PSProteome
Q9Y618	NCOR2	0.83	PSProteome
Q92785	REQU	0.83	PSProteome
P17252	KPCA	0.829	PSProteome
O95292	VAPB	0.829	PSProteome
O60749	SNX2	0.829	PSProteome
Q9UKJ3	GPTC8	0.829	PSProteome
Q01831	XPC	0.829	PSProteome
Q14149	MORC3	0.828	PSProteome
Q9NVP1	DDX18	0.828	PSProteome
Q92615	LAR4B	0.828	PSProteome
P18754	RCC1	0.828	PSProteome
O75475	PSIP1	0.828	PSProteome
Q13620	CUL4B	0.828	PSProteome
P13667	PDIA4	0.828	PSProteome
P04406	G3P	0.828	PSProteome
Q03252	LMNB2	0.828	PSProteome
Q13492	PICAL	0.828	PSProteome
Q9Y496	KIF3A	0.828	PSProteome
P12814	ACTN1	0.828	PSProteome
P23229	ITA6	0.828	PSProteome
Q13136	LIPA1	0.828	PSProteome
Q6VMQ6	MCAF1	0.828	PSProteome
Q92890	UFD1	0.827	PSProteome
Q9BWF3	RBM4	0.827	PSProteome
O95831	AIFM1	0.827	PSProteome
Q9NQB0	TF7L2	0.827	PSProteome
Q9UKY1	ZHX1	0.827	PSProteome
Q15029	U5S1	0.826	PSProteome
P46459	NSF	0.826	PSProteome
O14936	CSKP	0.826	PSProteome
P78371	TCPB	0.826	PSProteome
P02511	CRYAB	0.826	PSProteome
P11387	TOP1	0.826	PSProteome
P11388	TOP2A	0.826	PSProteome
Q96GQ7	DDX27	0.826	PSProteome
Q86VM9	ZCH18	0.826	PSProteome
Q9BUQ8	DDX23	0.825	PSProteome
Q14683	SMC1A	0.825	PSProteome
Q9H307	PININ	0.825	PSProteome
P27695	APEX1	0.825	PSProteome
Q96IZ0	PAWR	0.825	PSProteome
P07237	PDIA1	0.825	PSProteome
P17987	TCPA	0.825	PSProteome
Q13123	RED	0.825	PSProteome
Q13885	TBB2A	0.825	PSProteome
P29084	T2EB	0.825	PSProteome
P11308	ERG	0.825	PSProteome
P35658	NU214	0.825	PSProteome
Q9Y6Y8	S23IP	0.825	PSProteome
O60832	DKC1	0.824	PSProteome
P15976	GATA1	0.824	PSProteome
Q9ULM3	YETS2	0.824	PSProteome
P12268	IMDH2	0.824	PSProteome
P20042	IF2B	0.824	PSProteome
Q86VP6	CAND1	0.824	PSProteome
O60934	NBN	0.824	PSProteome
Q8NEY1	NAV1	0.824	PSProteome
Q96KQ4	ASPP1	0.824	PSProteome
P04040	CATA	0.824	PSProteome
Q15003	CND2	0.824	PSProteome
Q9UQC2	GAB2	0.824	PSProteome
P02671	FIBA	0.824	PSProteome
P38606	VATA	0.823	PSProteome
Q9UBT2	SAE2	0.823	PSProteome
Q12834	CDC20	0.823	PSProteome
Q13188	STK3	0.823	PSProteome
P05783	K1C18	0.823	PSProteome
Q4VCS5	AMOT	0.823	PSProteome
Q92974	ARHG2	0.823	PSProteome
P35241	RADI	0.823	PSProteome
Q5T5P2	SKT	0.823	PSProteome
O75179	ANR17	0.823	PSProteome
Q5JRA6	MIA3	0.823	PSProteome
P15502	ELN	0.822	PSProteome
O15371	EIF3D	0.822	PSProteome
P10644	KAP0	0.822	PSProteome
P84103	SRSF3	0.822	PSProteome
P62424	RL7A	0.822	PSProteome
Q9HD26	GOPC	0.822	PSProteome
Q9UQL6	HDAC5	0.822	PSProteome
Q9H3D4	P63	0.822	PSProteome
P49321	NASP	0.822	PSProteome
P20700	LMNB1	0.821	PSProteome
Q14160	SCRIB	0.821	PSProteome
Q9UQ80	PA2G4	0.821	PSProteome
P11831	SRF	0.821	PSProteome
O15014	ZN609	0.821	PSProteome
Q9BYB0	SHAN3	0.82	PSProteome
Q13509	TBB3	0.82	PSProteome
Q14315	FLNC	0.82	PSProteome
Q49A26	GLYR1	0.82	PSProteome
Q96L34	MARK4	0.82	PSProteome
Q13409	DC1I2	0.82	PSProteome
Q93062	RBPMS	0.82	PSProteome
Q9UIG0	BAZ1B	0.82	PSProteome
Q9P0L0	VAPA	0.82	PSProteome
O60504	VINEX	0.82	PSProteome
P62917	RL8	0.82	PSProteome
Q9UKG1	DP13A	0.82	PSProteome
Q15014	MO4L2	0.82	PSProteome
Q04864	REL	0.82	PSProteome
Q9H2U1	DHX36	0.819	PSProteome
Q9UQE7	SMC3	0.819	PSProteome
Q13618	CUL3	0.819	PSProteome
Q9BY44	EIF2A	0.819	PSProteome
Q32MZ4	LRRF1	0.819	PSProteome
O95757	HS74L	0.819	PSProteome
Q9BRS2	RIOK1	0.819	PSProteome
P16144	ITB4	0.819	PSProteome
Q9Y4H2	IRS2	0.819	PSProteome
Q8TD19	NEK9	0.819	PSProteome
P19525	E2AK2	0.818	PSProteome
Q01518	CAP1	0.818	PSProteome
P62899	RL31	0.818	PSProteome
Q01081	U2AF1	0.818	PSProteome
Q9C0C7	AMRA1	0.818	PSProteome
Q7Z6J0	SH3R1	0.818	PSProteome
Q16082	HSPB2	0.817	PSProteome
Q6PD62	CTR9	0.817	PSProteome
Q9H7E2	TDRD3	0.817	PSProteome
Q14562	DHX8	0.817	PSProteome
P12830	CADH1	0.817	PSProteome
P50502	F10A1	0.817	PSProteome
P19012	K1C15	0.817	PSProteome
O60500	NPHN	0.816	PSProteome
Q9UL18	AGO1	0.816	PSProteome
Q13554	KCC2B	0.816	PSProteome
P11137	MTAP2	0.816	PSProteome
Q9BVA1	TBB2B	0.816	PSProteome
Q9BZE4	NOG1	0.816	PSProteome
P55316	FOXG1	0.816	PSProteome
Q86YP4	P66A	0.816	PSProteome
Q7Z7F0	K0907	0.816	PSProteome
P46934	NEDD4	0.815	PSProteome
Q9ULH1	ASAP1	0.815	PSProteome
Q12830	BPTF	0.815	PSProteome
Q9Y450	HBS1L	0.815	PSProteome
Q9H6T3	RPAP3	0.815	PSProteome
Q9ULW0	TPX2	0.815	PSProteome
Q96RL1	UIMC1	0.815	PSProteome
Q92993	KAT5	0.814	Other
Q9NYL9	TMOD3	0.814	Other
Q13332	PTPRS	0.814	Other
P00441	SODC	0.814	Other
Q92614	MY18A	0.814	Other
O75643	U520	0.814	Other
Q9UBC3	DNM3B	0.814	Other
Q7L590	MCM10	0.814	Other
O95644	NFAC1	0.814	Other
O95487	SC24B	0.814	Other
Q9Y5U2	TSSC4	0.814	Other
Q5FBB7	SGOL1	0.813	Other
Q07352	TISB	0.813	Other
P16104	H2AX	0.813	Other
Q8N4C8	MINK1	0.813	Other
P40227	TCPZ	0.813	Other
Q969S3	ZN622	0.813	Other
P31948	STIP1	0.813	Other
Q9NZM3	ITSN2	0.813	Other
Q13117	DAZ2	0.813	Other
Q5JTV8	TOIP1	0.813	Other
P49427	UB2R1	0.813	Other
O15027	SC16A	0.812	Other
P09622	DLDH	0.812	Other
Q9UBV8	PEF1	0.812	Other
P62937	PPIA	0.812	Other
Q9P2D1	CHD7	0.812	Other
P26373	RL13	0.812	Other
P54578	UBP14	0.812	Other
Q9NYZ3	GTSE1	0.812	Other
P14921	ETS1	0.812	Other
P43246	MSH2	0.812	Other
P49796	RGS3	0.812	Other
P04075	ALDOA	0.811	Other
P23443	KS6B1	0.811	Other
P23497	SP100	0.811	Other
Q9Y6A5	TACC3	0.811	Other
Q14978	NOLC1	0.811	Other
Q7Z4S6	KI21A	0.811	Other
P11586	C1TC	0.811	Other
P38919	IF4A3	0.811	Other
P04350	TBB4A	0.811	Other
Q9UJY5	GGA1	0.811	Other
O14490	DLGP1	0.81	Other
P14678	RSMB	0.81	Other
Q02413	DSG1	0.81	Other
P10586	PTPRF	0.81	Other
P29401	TKT	0.81	Other
Q9UJV9	DDX41	0.81	Other
Q9NW13	RBM28	0.81	Other
P00558	PGK1	0.81	Other
P06733	ENOA	0.81	Other
P35226	BMI1	0.81	Other
P14314	GLU2B	0.81	Other
Q96T58	MINT	0.81	Other
Q15291	RBBP5	0.81	Other
Q9NS56	TOPRS	0.809	Other
P02686	MBP	0.809	Other
P05771	KPCB	0.809	Other
Q14258	TRI25	0.809	Other
Q12923	PTN13	0.809	Other
P01100	FOS	0.809	Other
P06239	LCK	0.809	Other
Q9ULV4	COR1C	0.809	Other
Q96EB6	SIR1	0.809	Other
Q15059	BRD3	0.809	Other
Q6P1L5	F117B	0.809	Other
P04259	K2C6B	0.809	Other
Q9BV68	RN126	0.809	Other
Q06945	SOX4	0.809	Other
Q9H4L7	SMRCD	0.809	Other
O43493	TGON2	0.809	Other
P42696	RBM34	0.808	Other
P08621	RU17	0.808	Other
P08670	VIME	0.808	Other
P19022	CADH2	0.808	Other
O14965	AURKA	0.808	Other
Q9Y2X7	GIT1	0.808	Other
O43639	NCK2	0.808	Other
P60842	IF4A1	0.807	Other
P18583	SON	0.807	Other
O75420	PERQ1	0.807	Other
P27448	MARK3	0.807	Other
A6NFN3	RFOX3	0.807	Other
P02533	K1C14	0.807	Other
P04004	VTNC	0.807	Other
Q15046	SYK	0.806	Other
Q99816	TS101	0.806	Other
P40939	ECHA	0.806	Other
O95208	EPN2	0.806	Other
P0DMV8	HSPA1A	0.805	Other
Q9BX40	LS14B	0.805	Other
P62280	RS11	0.805	Other
Q15020	SART3	0.805	Other
O00541	PESC	0.805	Other
P53999	TCP4	0.805	Other
P04632	CPNS1	0.805	Other
Q12797	ASPH	0.805	Other
Q9ULT8	HECD1	0.805	Other
Q7Z6Z7	HUWE1	0.805	Other
O95365	ZBT7A	0.805	Other
Q93009	UBP7	0.804	Other
Q15654	TRIP6	0.804	Other
Q9H4A3	WNK1	0.804	Other
Q05519	SRS11	0.804	Other
Q16555	DPYL2	0.804	Other
Q96PU8	QKI	0.804	Other
Q96JC9	EAF1	0.804	Other
Q03111	ENL	0.804	Other
Q92783	STAM1	0.804	Other
Q14204	DYHC1	0.803	Other
P43405	KSYK	0.803	Other
P08631	HCK	0.803	Other
Q10567	AP1B1	0.803	Other
Q00610	CLH1	0.803	Other
O15530	PDPK1	0.803	Other
Q07065	CKAP4	0.803	Other
Q96MU7	YTDC1	0.803	Other
Q9NZN5	ARHGC	0.803	Other
Q9Y4W6	AFG32	0.803	Other
Q14126	DSG2	0.803	Other
Q15007	FL2D	0.803	Other
Q8IWI9	MGAP	0.803	Other
Q15788	NCOA1	0.803	Other
Q15906	VPS72	0.803	Other
Q99460	PSMD1	0.802	Other
P13861	KAP2	0.802	Other
P53621	COPA	0.802	Other
O95503	CBX6	0.802	Other
Q9UPX8	SHAN2	0.802	Other
Q13191	CBLB	0.802	Other
P30291	WEE1	0.802	Other
Q86V48	LUZP1	0.801	Other
Q99959	PKP2	0.801	Other
Q8IX01	SUGP2	0.801	Other
Q6VN20	RBP10	0.801	Other
Q9NTJ3	SMC4	0.801	Other
P36957	ODO2	0.801	Other
Q01082	SPTB2	0.801	Other
O75553	DAB1	0.801	Other
P02751	FINC	0.801	Other
Q96KM6	Z512B	0.801	Other
O43242	PSMD3	0.8	Other
P60174	TPIS	0.8	Other
Q9BRK4	LZTS2	0.8	Other
Q14966	ZN638	0.8	Other
P23470	PTPRG	0.8	Other
O14818	PSA7	0.799	Other
Q99623	PHB2	0.799	Other
P51784	UBP11	0.799	Other
Q07021	C1QBP	0.799	Other
Q9UKV3	ACINU	0.799	Other
Q6K0P9	IFIX	0.799	Other
O95696	BRD1	0.799	Other
P51692	STA5B	0.799	Other
Q13838	DX39B	0.798	Other
Q9NZM5	GSCR2	0.798	Other
Q8IZH2	XRN1	0.798	Other
Q96CW1	AP2M1	0.798	Other
Q15019	2-Sep	0.798	Other
Q9Y4G8	RPGF2	0.798	Other
Q9UBW7	ZMYM2	0.798	Other
O60293	ZC3H1	0.798	Other
O75909	CCNK	0.798	Other
Q16513	PKN2	0.798	Other
P81877	SSBP2	0.798	Other
P62847	RS24	0.797	Other
P63010	AP2B1	0.797	Other
Q8N3V7	SYNPO	0.797	Other
O60493	SNX3	0.797	Other
Q99733	NP1L4	0.797	Other
P21796	VDAC1	0.797	Other
P38936	CDN1A	0.797	Other
Q14008	CKAP5	0.797	Other
O60566	BUB1B	0.797	Other
Q05707	COEA1	0.797	Other
Q6NT76	HMBX1	0.797	Other
Q9Y572	RIPK3	0.797	Other
Q99613	EIF3C	0.796	Other
Q15154	PCM1	0.796	Other
P26639	SYTC	0.796	Other
Q8NDV7	TNR6A	0.796	Other
P61081	UBC12	0.796	Other
Q9BZZ5	API5	0.796	Other
Q9P270	SLAI2	0.796	Other
Q16531	DDB1	0.796	Other
Q16543	CDC37	0.796	Other
Q9BZ95	NSD3	0.796	Other
Q5VYK3	ECM29	0.796	Other
Q15418	KS6A1	0.796	Other
O00159	MYO1C	0.796	Other
P17676	CEBPB	0.796	Other
O60292	SI1L3	0.796	Other
O94888	UBXN7	0.796	Other
Q7Z434	MAVS	0.795	Other
O75955	FLOT1	0.795	Other
P06400	RB	0.795	Other
Q8IY57	YAF2	0.795	Other
P29317	EPHA2	0.795	Other
Q9UJM3	ERRFI	0.795	Other
Q5T3J3	LRIF1	0.795	Other
Q8IY67	RAVR1	0.795	Other
O00268	TAF4	0.795	Other
P07996	TSP1	0.795	Other
Q13200	PSMD2	0.794	Other
Q86UK7	ZN598	0.794	Other
P10070	GLI2	0.794	Other
A0JLT2	MED19	0.794	Other
Q9ULJ6	ZMIZ1	0.794	Other
P07355	ANXA2	0.793	Other
P46821	MAP1B	0.793	Other
Q14676	MDC1	0.793	Other
Q9NX58	LYAR	0.793	Other
Q15797	SMAD1	0.793	Other
Q16658	FSCN1	0.793	Other
O75494	SRS10	0.793	Other
O75061	AUXI	0.793	Other
P52565	GDIR1	0.793	Other
O94763	RMP	0.793	Other
P41743	KPCI	0.792	Other
A7KAX9	RHG32	0.792	Other
Q92574	TSC1	0.792	Other
P49750	YLPM1	0.792	Other
Q9NPF5	DMAP1	0.792	Other
P04049	RAF1	0.792	Other
Q15796	SMAD2	0.792	Other
P21675	TAF1	0.792	Other
Q13428	TCOF	0.791	Other
Q00987	MDM2	0.791	Other
P62263	RS14	0.791	Other
P28331	NDUS1	0.791	Other
P20810	ICAL	0.791	Other
Q9HCE7	SMUF1	0.791	Other
Q9Y6E0	STK24	0.791	Other
P49588	SYAC	0.79	Other
O94906	PRP6	0.79	Other
O75150	BRE1B	0.79	Other
P37802	TAGL2	0.79	Other
Q9NVI7	ATD3A	0.79	Other
Q8WVV9	HNRLL	0.79	Other
Q9BVS4	RIOK2	0.79	Other
P61221	ABCE1	0.79	Other
B5ME19	EIFCL	0.79	Other
Q13451	FKBP5	0.79	Other
P51957	NEK4	0.79	Other
Q8N884	CGAS	0.789	Other
Q13596	SNX1	0.789	Other
O75128	COBL	0.789	Other
Q9H444	CHM4B	0.789	Other
P05549	AP2A	0.789	Other
Q9UHI6	DDX20	0.788	Other
P10515	ODP2	0.788	Other
Q9NRA8	4ET	0.788	Other
Q5BJF6	ODFP2	0.788	Other
Q04695	K1C17	0.788	Other
P53396	ACLY	0.788	Other
P35556	FBN2	0.788	Other
P08779	K1C16	0.788	Other
Q9Y520	PRC2C	0.787	Other
P22695	QCR2	0.787	Other
Q9H4L4	SENP3	0.787	Other
Q17RY0	CPEB4	0.787	Other
P08133	ANXA6	0.787	Other
P16989	YBOX3	0.787	Other
P49407	ARRB1	0.787	Other
Q12874	SF3A3	0.787	Other
P62851	RS25	0.787	Other
Q9Y597	KCTD3	0.787	Other
P52292	IMA1	0.786	Other
P54132	BLM	0.786	Other
P62979	RS27A	0.786	Other
P35232	PHB	0.786	Other
Q00536	CDK16	0.786	Other
P10071	GLI3	0.786	Other
Q8IVD9	NUDC3	0.786	Other
Q13233	M3K1	0.786	Other
O14786	NRP1	0.786	Other
Q6ZW49	PAXI1	0.786	Other
Q13523	PRP4B	0.786	Other
Q15293	RCN1	0.786	Other
O43561	LAT	0.785	Other
Q15843	NEDD8	0.785	Other
Q9UBS0	KS6B2	0.785	Other
Q7Z5K2	WAPL	0.785	Other
Q9NQC3	RTN4	0.785	Other
P33981	TTK	0.785	Other
Q8NDT2	RB15B	0.785	Other
P11047	LAMC1	0.785	Other
P45985	MP2K4	0.785	Other
P08651	NFIC	0.785	Other
Q8N1G0	ZN687	0.785	Other
Q96JH7	VCIP1	0.784	Other
P07384	CAN1	0.784	Other
P23396	RS3	0.784	Other
O43865	SAHH2	0.784	Other
Q9Y490	TLN1	0.784	Other
P63104	1433Z	0.784	Other
Q5T4S7	UBR4	0.784	Other
Q15417	CNN3	0.784	Other
Q9BTC0	DIDO1	0.784	Other
Q9P2E3	ZNFX1	0.783	Other
P18031	PTN1	0.783	Other
Q9NTI5	PDS5B	0.783	Other
P17028	ZNF24	0.783	Other
P35579	MYH9	0.783	Other
Q9NQC7	CYLD	0.783	Other
P84243	H33	0.783	Other
P49418	AMPH	0.783	Other
P62701	RS4X	0.783	Other
Q96L92	SNX27	0.783	Other
P68431	H31	0.783	Other
Q9P2E9	RRBP1	0.783	Other
P98170	XIAP	0.783	Other
Q86XR8	CEP57	0.783	Other
O43150	ASAP2	0.783	Other
O00418	EF2K	0.783	Other
Q86XK2	FBX11	0.783	Other
Q86U44	MTA70	0.783	Other
Q96BD5	PF21A	0.783	Other
P50914	RL14	0.782	Other
P02675	FIBB	0.782	Other
Q9Y2K5	R3HD2	0.782	Other
Q96L91	EP400	0.782	Other
P52298	NCBP2	0.781	Other
O75592	MYCB2	0.781	Other
Q09028	RBBP4	0.781	Other
Q5TCQ9	MAGI3	0.781	Other
Q9BQG0	MBB1A	0.781	Other
O00459	P85B	0.781	Other
Q13557	KCC2D	0.781	Other
P49411	EFTU	0.781	Other
P00533	EGFR	0.781	Other
Q9Y2H6	FND3A	0.781	Other
Q01970	PLCB3	0.781	Other
Q15262	PTPRK	0.781	Other
O75526	RMXL2	0.781	Other
P08865	RSSA	0.78	Other
Q16576	RBBP7	0.78	Other
Q92558	WASF1	0.78	Other
Q9H3S7	PTN23	0.78	Other
P83731	RL24	0.78	Other
Q5VTR2	BRE1A	0.78	Other
O60841	IF2P	0.78	Other
Q12913	PTPRJ	0.78	Other
Q96DT7	ZBT10	0.78	Other
Q6NXG1	ESRP1	0.779	Other
P39019	RS19	0.779	Other
O76094	SRP72	0.779	Other
P63162	RSMN	0.779	Other
Q96QR8	PURB	0.779	Other
P30260	CDC27	0.779	Other
Q16695	H31T	0.779	Other
P42229	STA5A	0.779	Other
Q13761	RUNX3	0.779	Other
P47756	CAPZB	0.779	Other
P52907	CAZA1	0.779	Other
Q15650	TRIP4	0.779	Other
Q9UPN3	MACF1	0.778	Other
Q9UPQ0	LIMC1	0.778	Other
Q9UMS4	PRP19	0.778	Other
Q93008	USP9X	0.778	Other
P27708	PYR1	0.778	Other
Q92625	ANS1A	0.778	Other
Q99856	ARI3A	0.778	Other
Q93074	MED12	0.778	Other
P46783	RS10	0.778	Other
Q7LBC6	KDM3B	0.777	Other
P15924	DESP	0.777	Other
P20290	BTF3	0.777	Other
Q5T3I0	GPTC4	0.777	Other
Q7Z5L9	I2BP2	0.777	Other
P35240	MERL	0.777	Other
Q9UBB5	MBD2	0.777	Other
Q99549	MPP8	0.777	Other
Q08499	PDE4D	0.777	Other
Q9Y3F4	STRAP	0.776	Other
Q9NPI1	BRD7	0.776	Other
Q9HC77	CENPJ	0.776	Other
P54105	ICLN	0.776	Other
O95782	AP2A1	0.776	Other
Q15185	TEBP	0.776	Other
Q3KQU3	MA7D1	0.776	Other
P35222	CTNB1	0.776	Other
Q9NZJ0	DTL	0.776	Other
P53618	COPB	0.776	Other
P09429	HMGB1	0.776	Other
Q96HA1	P121A	0.776	Other
Q6NYC1	JMJD6	0.775	Other
P35268	RL22	0.775	Other
Q9H0M0	WWP1	0.775	Other
Q86UL8	MAGI2	0.775	Other
P35580	MYH10	0.775	Other
Q16512	PKN1	0.775	Other
Q69YQ0	CYTSA	0.775	Other
Q8N3X1	FNBP4	0.775	Other
P02786	TFR1	0.775	Other
O75385	ULK1	0.775	Other
P68400	CSK21	0.774	Other
P12035	K2C3	0.774	Other
Q9NQ55	SSF1	0.774	Other
Q8N0X7	SPG20	0.774	Other
P12270	TPR	0.774	Other
Q9UBS4	DJB11	0.774	Other
P62633	CNBP	0.774	Other
P46013	KI67	0.774	Other
Q9UNE7	CHIP	0.774	Other
Q12904	AIMP1	0.774	Other
P08727	K1C19	0.774	Other
Q14807	KIF22	0.774	Other
Q9Y4B6	VPRBP	0.774	Other
P78527	PRKDC	0.773	Other
Q15149	PLEC	0.773	Other
Q6ZRV2	FA83H	0.773	Other
Q92905	CSN5	0.773	Other
O75970	MPDZ	0.773	Other
P00747	PLMN	0.773	Other
Q8NF64	ZMIZ2	0.773	Other
Q14202	ZMYM3	0.773	Other
P50750	CDK9	0.772	Other
Q15642	CIP4	0.772	Other
Q06830	PRDX1	0.772	Other
P23468	PTPRD	0.772	Other
P42694	HELZ	0.772	Other
Q9Y2X3	NOP58	0.772	Other
P12109	CO6A1	0.772	Other
P20226	TBP	0.771	Other
Q8NHV4	NEDD1	0.771	Other
Q14254	FLOT2	0.771	Other
P51812	KS6A3	0.771	Other
Q9BZE9	ASPC1	0.771	Other
O00327	BMAL1	0.771	Other
P08575	PTPRC	0.771	Other
Q96ME7	ZN512	0.771	Other
P30876	RPB2	0.77	Other
Q71DI3	H32	0.77	Other
P36776	LONM	0.77	Other
P26583	HMGB2	0.77	Other
Q9UJZ1	STML2	0.77	Other
P17096	HMGA1	0.77	Other
Q15393	SF3B3	0.77	Other
Q969T9	WBP2	0.77	Other
P60709	ACTB	0.77	Other
P17812	PYRG1	0.77	Other
P42224	STAT1	0.77	Other
P05556	ITB1	0.77	Other
P13646	K1C13	0.77	Other
Q9BVL2	NUPL1	0.77	Other
P55010	IF5	0.769	Other
P41250	SYG	0.769	Other
Q14690	RRP5	0.769	Other
Q15050	RRS1	0.769	Other
Q9HAU4	SMUF2	0.769	Other
Q9H0B6	KLC2	0.769	Other
Q9Y3R0	GRIP1	0.769	Other
Q9UKY7	CDV3	0.769	Other
Q12931	TRAP1	0.769	Other
Q6P158	DHX57	0.769	Other
P60484	PTEN	0.769	Other
Q15599	NHRF2	0.769	Other
Q9NRF2	SH2B1	0.769	Other
Q9HB71	CYBP	0.769	Other
P38398	BRCA1	0.768	Other
Q08174	PCDH1	0.768	Other
Q6E0U4	DMKN	0.768	Other
P21802	FGFR2	0.768	Other
P09497	CLCB	0.768	Other
Q96DF8	DGC14	0.768	Other
Q12756	KIF1A	0.768	Other
Q9UGI8	TES	0.768	Other
Q96S55	WRIP1	0.768	Other
P05023	AT1A1	0.767	Other
Q14152	EIF3A	0.767	Other
Q14240	IF4A2	0.767	Other
Q99728	BARD1	0.767	Other
Q96PU4	UHRF2	0.767	Other
P50395	GDIB	0.767	Other
O43852	CALU	0.767	Other
Q01664	TFAP4	0.767	Other
Q96AG4	LRC59	0.766	Other
P04843	RPN1	0.766	Other
P13984	T2FB	0.766	Other
Q96AQ6	PBIP1	0.766	Other
O95983	MBD3	0.766	Other
Q08170	SRSF4	0.766	Other
Q13085	ACACA	0.766	Other
Q9UQ88	CD11A	0.766	Other
P63145	GAK24	0.766	Other
O43765	SGTA	0.766	Other
P0CG47	UBB	0.766	Other
P42345	MTOR	0.765	Other
Q9Y678	COPG1	0.765	Other
Q15032	R3HD1	0.765	Other
Q9HCJ0	TNR6C	0.765	Other
P12277	KCRB	0.765	Other
Q9UNX3	RL26L	0.765	Other
Q8N5A5	ZGPAT	0.765	Other
P51617	IRAK1	0.765	Other
O15534	PER1	0.765	Other
Q9P2R6	RERE	0.765	Other
Q12789	TF3C1	0.765	Other
Q5VZL5	ZMYM4	0.765	Other
P50454	SERPH	0.764	Other
P62805	H4	0.764	Other
O14617	AP3D1	0.764	Other
A6NHR9	SMHD1	0.764	Other
P80723	BASP1	0.764	Other
O95602	RPA1	0.764	Other
Q96N67	DOCK7	0.764	Other
Q14511	CASL	0.764	Other
Q9NY61	AATF	0.764	Other
P68133	ACTS	0.764	Other
P10242	MYB	0.764	Other
P62258	1433E	0.764	Other
Q9Y3Q8	T22D4	0.764	Other
Q9UMR2	DD19B	0.764	Other
P63126	GAK9	0.764	Other
Q5TAQ9	DCAF8	0.764	Other
O75925	PIAS1	0.764	Other
Q02447	SP3	0.764	Other
